102,HEARTBEAT CITY,CARS,69,1985
103,STRESSED OUT,TWENTY ONE PILOTS,159,2015
104,TELL HER NO,ZOMBIES,124,1965
105,PLEASE PLEASE ME,BEATLES,111,1964
106,SHE LOVES YOU,BEATLES,104,1964
107,ROLL ON  DOWN THE HIGHWAY,BACHMAN TURNER OVERDRIVE,114,1974
108,BABY BLUE,BADFINGER,105,1972
109,YOU MIGHT THINK,CARS,84,1984
110,HOLIDAY ROAD,LINDSAY BUCKINGHAM,55,1983
111,BRIDGE OVER TROUBLED WATER,SIMON AND GARFUNKEL,154,1970
112,YOU'RE ALL I NEED TO GET BY,MARVIN GAYE & TAMMI TERRELL,109,1968
113,IT AIN'T NO USE,STEVIE WONDER,112,1974
114,(THE LOVE I SAW IN YOU WAS) JUST A MIRAGE,MIRACLES,116,1967
115,POOR LITTLE FOOL,RICK NELSON,120,1958
116,RAVE ON,BUDDY HOLLY,122,1958
117,CALIFORNIA GURLS,KATY PERRY,125,2010
118,WONDERFUL WORLD,HERMAN'S HERMITS,134,1965
119,MORE LOVE,SMOKEY ROBINSON AND THE MIRACLES,128,1967
120,THE UNDERDOG,SPOON,131,2007
121,YOUR PRECIOUS LOVE,MARVIN GAYE & TAMMI TERRELL,132,1967
122,YOU GOT IT,ROY ORBISON,138,1989
123,DIRTY WORK,STEELY DAN,143,1972
124,IN THE COUNTRY,CHICAGO,204,1970
125,HAIL HAIL,PEARL JAM,110,1996
126,HEY NINETEEN,STEELY DAN,133,1980
127,HELLO MARY LOU,RICK NELSON,123,1961
128,SINCE I FELL FOR YOU,LENNY WELCH,166,1963
129,HEROES AND VILLAINS,BEACH BOYS,183,1967
130,WALKING THROUGH THE COUNTRY,GRASS ROOTS,205,1970
131,IT HURTS TO BE IN LOVE,GENE PITNEY,100,1964
132,SATISFACTION,ROLLING STONES,96,1965
133,ALL THESE THINGS THAT I HAVE DONE,KILLERS,206,2004
134,AMERICA,SIMON AND GARFUNKEL,207,1968
135,I'LL FOLLOW THE SUN,BEATLES,103,1965
136,QUESTIONS 67 & 68,CHICAGO,142,1969
137,RUNAWAYS,THE KILLERS,148,2012
138,LAUGH LAUGH,BEAU BRUMMELS,152,1965
139,CALL ME LIGHTNING,WHO,153,1968
140,"HELP ME,RHONDA",BEACH BOYS,113,1965
141,HELLO GOODBYE,BEATLES,160,1967
142,THE STORY IN YOUR EYES,MOODY BLUES,162,1971
143,"SIGNED,SEALED,AND DELIVERED",STEVIE WONDER,165,1970
144,THE NIGHT HAS A THOUSAND EYES,BOBBY VEE,107,1962
145,THE A TEAM,ED SHEERAN,155,2011
146,SUPERMASSIVE BLACK HOLE,MUSE,77,2006
147,LOVE YOU INSIDE AND OUT,BEE GEES,106,1979
148,TAKE A BOW,MADONNA,172,1994
149,TONIGHT SHE COMES,CARS,129,1985
150,HOT N COLD,KATY PERRY,171,2008
151,JUST CAN'T GET ENOUGH,DEPECHE MODE,164,1981
152,25 OR 6 TO 4,CHICAGO,180,1970
153,LITTLE SISTER,ELVIS PRESLEY,93,1961
154,STAIRWAY TO HEAVEN,LED ZEPPELIN,76,1971
155,LIGHT MY FIRE,DOORS,121,1967
156,CHAINED TO THE RHYTHM,KATY PERRY FT SKIP MARLEY,117,2017
157,FOR NO ONE,BEATLES,175,1966
158,PRIVATE EYES,HALL AND OATES,119,1981
159,STUCK ON YOU,ELVIS PRESLEY,130,1960
160,GETTING BETTER,BEATLES,80,1967
161,DOES ANYBODY REALLY KNOW WHAT TIME IT IS,CHICAGO,181,1970
162,IF I FELL,BEATLES,140,1964
163,HIM OR ME (WHAT'S IT GONNA BE),PAUL REVERE AND THE RAIDERS,157,1967
164,THE WAY YOU DO THE THINGS YOU DO,TEMPTATIONS,146,1964
165,THE WARMTH OF THE SUN,BEACH BOYS,144,1964
166,BIG WIDE WORLD,TEDDY RANDAZZO,145,1962
167,FRIENDS,BEACH BOYS,141,1968
168,REVOLUTION,BEATLES,147,1968
169,YOU LOST THE SWEETEST BOY,MARY WELLS,149,1963
170,(YOU'VE GOTTA) FIGHT FOR YOUR RIGHT (TO PARTY),BEASTIE BOYS,150,1987
171,PINBALL WIZARD,WHO,151,1969
172,ONE BROKEN HEART FOR SALE,ELVIS PRESLEY,156,1962
173,MY GIRL,TEMPTATIONS,158,1964
174,SHUT UP AND LET ME GO,THE TING TINGS,137,2008
175,ROUSTABOUT,ELVIS PRESLEY,174,1964
176,MR. BLUE SKY,ELO,192,1978
177,A TIME FOR US (LOVE THEME FROM ROMEO AND JULIET),HENRY MANCINI,136,1969
178,LOVE WILL COME TO YOU,INDIGO GIRLS,176,1992
179,HELPLESSLY HOPING,"CROSBY, STILLS, NASH ",161,1969
180,I WILL,BEATLES,115,1968
181,JUMP,VAN HALEN,190,1984
182,UPRISING,MUSE,189,2009
183,1999,PRINCE,208,1982
184,ENJOY THE SILENCE,DEPECHE MODE,168,1990
185,BREAK OUT,FOO FIGHTERS,173,2000
186,BEAUTY IS ONLY SKIN DEEP,TEMPTATIONS,177,1966
187,"WALK, DON'T RUN",VENTURES,182,1960
188,MARRAKESH EXPRESS,"CROSBY, STILLS, NASH ",185,1969
189,A WHITER SHADE OF PALE,PROCOL HAREM,188,1967
190,YOU'RE SO SQUARE (BABY I DON'T CARE),BUDDY HOLLY,178,1958
191,YOU DON'T HAVE TO CRY,"CROSBY, STILLS AND NASH",163,1969
192,SMELLS LIKE TEEN SPIRIT,NIRVANA,195,1991
193,SPARE ME THE DETAILS,THE OFFSPRING,167,2003
194,NICK OF TIME,BONNIE RAITT,196,1989
195,NEVER MY LOVE,ASSOCIATION,209,1967
196,THE WIND,CAT STEVENS,197,1971
197,HERE COMES THE SUN,BEATLES,200,1969
198,YOU MAKE MY DREAMS,HALL AND OATES,199,1981
199,YOU REALLY GOT ME,KINKS,184,1964
200,SYMPHONY,CLEAN BANDIT FT ZARA LARSSON,210,2017
